Servicio,Masculino,Femenino
Facultad de Agronomía,1884,1045
"Facultad de Arquitectura, Diseño y Urbanismo",2965,5176
Facultad de Ciencias Económicas y de Administración,11954,16415
Facultad de Derecho,5940,14176
Facultad de Ingeniería,9555,2919
Facultad de Medicina,5185,12429
Facultad de Odontología,550,2230
Facultad de Química,997,2498
Facultad de Veterinaria,1798,3624
Facultad de Humanidades y Ciencias de la Educación,2218,4965
Facultad de Artes,1343,3003
Facultad de Psicología,3612,12525
Facultad de Enfermería,1675,6338
Facultad de Ciencias Sociales,1876,5993
Facultad de Ciencias,1954,2255
Escuela de Parteras,230,2362
Facultad de Información y Comunicación,3105,4756
Escuela de Nutrición,943,3370
Escuela Universitaria de Tecnología Médica,2538,9264
Instituto Superior de Educación Física,5154,3129